model,feature,importance,importance_std
hotspot,count_roll_mean_336,0.02773551025849519,0.0
hotspot,target_hour_sin,0.024516798742696133,0.0
hotspot,count_roll_mean_84,0.0170119615165637,0.0
hotspot,count_lag_1,0.014700847055126587,0.0
hotspot,impact_roll_mean_336,0.010113294604325807,0.0
hotspot,record_confidence_mean_84,0.008072451342009457,0.0
hotspot,active_devices_mean_84,0.006444954685592419,0.0
hotspot,target_is_peak,0.003919513142969955,0.0
hotspot,target_hour_cos,0.0032462201200899043,0.0
hotspot,zone_expanding_mean_count,0.003056323134608796,0.0
hotspot,history_observations,0.0028170499351263256,0.0
hotspot,impact_roll_mean_84,0.0024473601806379586,0.0
hotspot,cell_x,0.0007134017186614661,0.0
hotspot,count_lag_84,0.0007011395084188798,0.0
hotspot,heavy_vehicle_share_84,0.0006424200246289979,0.0
hotspot,trend_ratio,0.0006125604450776256,0.0
hotspot,zone_expanding_mean_impact,0.00026787752477391846,0.0
hotspot,impact_trend_ratio,0.00024563798469134923,0.0
hotspot,active_officers_mean_84,0.00017456731108084211,0.0
hotspot,repeat_vehicle_rate_84,0.00010858648186151676,0.0
hotspot,count_lag_2,5.06717024226222e-05,0.0
hotspot,junction_offence_share_84,3.065933029838819e-05,0.0
hotspot,target_weekday_sin,2.139113994092945e-05,0.0
hotspot,main_road_share_84,2.5984598105988077e-06,0.0
hotspot,centroid_latitude,0.0,0.0
hotspot,centroid_longitude,0.0,0.0
hotspot,target_is_weekend,0.0,0.0
hotspot,count_lag_3,0.0,0.0
hotspot,cell_y,-1.9947378621487655e-05,0.0
hotspot,impact_lag_3,-5.3592911551159084e-05,0.0
hotspot,high_severity_share_84,-0.00023161358638990048,0.0
hotspot,count_lag_12,-0.0002736014415465893,0.0
hotspot,junction_share_84,-0.0003013111009598779,0.0
hotspot,impact_lag_2,-0.000383246015169203,0.0
hotspot,impact_lag_84,-0.0012231128213179843,0.0
hotspot,target_weekday_cos,-0.0012252436536084876,0.0
hotspot,impact_lag_1,-0.002283591593907619,0.0
hotspot,count_roll_mean_12,-0.002627226366912261,0.0
hotspot,impact_roll_mean_12,-0.0026922903834416534,0.0
hotspot,impact_lag_12,-0.0055863130861426025,0.0
impact,target_hour_sin,0.028004645568610598,0.0
impact,impact_lag_1,0.01760022481753587,0.0
impact,active_devices_mean_84,0.01121204795964914,0.0
impact,impact_lag_84,0.009473423312747475,0.0
impact,zone_expanding_mean_impact,0.008481739109175712,0.0
impact,count_lag_1,0.007960145041367106,0.0
impact,count_lag_84,0.0076575140074647274,0.0
impact,impact_roll_mean_84,0.006959981472829946,0.0
impact,zone_expanding_mean_count,0.006369555332589982,0.0
impact,impact_roll_mean_12,0.006083834176455749,0.0
impact,count_roll_mean_336,0.005325020276574555,0.0
impact,impact_lag_12,0.0038098934572665666,0.0
impact,cell_x,0.003795642730981097,0.0
impact,target_is_peak,0.002993290503530477,0.0
impact,impact_roll_mean_336,0.0023519986259836756,0.0
impact,record_confidence_mean_84,0.002123825818004632,0.0
impact,count_roll_mean_12,0.002113398281758605,0.0
impact,impact_lag_2,0.001955771123101635,0.0
impact,active_officers_mean_84,0.0015995224802546337,0.0
impact,count_lag_12,0.001481222453761366,0.0
impact,count_roll_mean_84,0.001203207712530574,0.0
impact,target_hour_cos,0.001195438095597412,0.0
impact,count_lag_2,0.0011543846043768902,0.0
impact,cell_y,0.0010714553487960465,0.0
impact,repeat_vehicle_rate_84,0.0008939538097927358,0.0
impact,trend_ratio,0.00032617557902414607,0.0
impact,main_road_share_84,0.00028198551750213685,0.0
impact,junction_share_84,0.0002270913377010464,0.0
impact,heavy_vehicle_share_84,0.00012799978615907204,0.0
impact,centroid_latitude,0.0,0.0
impact,centroid_longitude,0.0,0.0
impact,junction_offence_share_84,0.0,0.0
impact,impact_lag_3,-2.465097104376035e-05,0.0
impact,count_lag_3,-6.556237109101026e-05,0.0
impact,history_observations,-0.00011902429508647838,0.0
impact,target_is_weekend,-0.0002569914034895593,0.0
impact,high_severity_share_84,-0.0002783054780066685,0.0
impact,impact_trend_ratio,-0.0005555272452125726,0.0
impact,target_weekday_sin,-0.0010340401537071164,0.0
impact,target_weekday_cos,-0.001827549352124258,0.0
